Año,Mes,id_Rubro,Rubro,indice,variación mensual
2020,9,14,Pisos y revestimientos cerámicos,252.08736249864,4
2020,9,17,Yeso,184.83485035654,0
2020,9,15,Sanitarios de cerámica,258.828836993635,2.99676365235761
2020,9,16,Tubos estructurales,206.170116464718,4
2020,9,3,Caños de PVC,190.244437744376,6.73383775528171
2020,9,5,Chapas galvanizadas,187.444185146688,3.49879226348488
2020,9,7,Hierro fundido,154.905941973621,3.65275239796268
2020,9,6,Conductores de cobre,191.623278198983,4.66243824227603
2020,10,1,Asfalto,193.876366221369,4.61695668078501
2020,10,2,Cales,177.914896050676,4.73538084143295
2020,10,4,Cemento portland,228.798845914038,7.49999999999997
2020,10,8,Hierro redondo y acero para construcción,273.047417871129,7.50000000000002
2020,10,9,Hormigón elaborado,184.493244580945,9.00000000000001
2020,10,10,Ladrillos cerámicos,199.782449637799,10.4879323171312
2020,10,11,Ladrillos comunes,213.74682389977,20
2020,10,12,Mosaicos graníticos y calcáreos,210.090731888143,9.98697646264135
2020,10,13,Pinturas para construcción,166.176722727697,0
2020,10,14,Pisos y revestimientos cerámicos,287.37959324845,14
2020,10,17,Yeso,192.228244370802,4
2020,10,15,Sanitarios de cerámica,268.318534885735,3.66639900033014
2020,10,16,Tubos estructurales,228.848829275837,11
2020,10,3,Caños de PVC,214.668391763045,12.8381961166646
2020,10,5,Chapas galvanizadas,208.233954810991,11.0911787677132
2020,10,7,Hierro fundido,162.904081327575,5.16322308366768
2020,10,6,Conductores de cobre,205.088233147642,7.02678457190198
2020,11,1,Asfalto,198.887447312495,2.58467867372991
2020,11,2,Cales,186.81064085321,5
2020,11,4,Cemento portland,242.52677666888,6.00000000000001
2020,11,8,Hierro redondo y acero para construcción,286.699788764686,5
2020,11,9,Hormigón elaborado,204.325747793601,10.7497178325977
2020,11,10,Ladrillos cerámicos,236.744852614434,18.5013263395494
2020,11,11,Ladrillos comunes,309.505401006867,44.8
2020,11,12,Mosaicos graníticos y calcáreos,210.090731888143,0
2020,11,13,Pinturas para construcción,178.224050926887,7.24970862431285
2020,11,14,Pisos y revestimientos cerámicos,316.117552573295,10
2020,11,17,Yeso,197.995091701926,3
2020,11,15,Sanitarios de cerámica,285.752960671978,6.49765987790123
2020,11,16,Tubos estructurales,242.579759032387,6.00000000000003
2020,11,3,Caños de PVC,226.084916650877,5.3182141972878
2020,11,5,Chapas galvanizadas,221.747164238193,6.48943609579309
2020,11,7,Hierro fundido,168.382349978221,3.36287992664197
2020,11,6,Conductores de cobre,217.028711470662,5.82211770015322
2020,12,1,Asfalto,205.030673772175,3.08879546833738
2020,12,2,Cales,200.767126153822,7.47092630102337
2020,12,4,Cemento portland,254.653115502324,5
2020,12,8,Hierro redondo y acero para construcción,295.300782427626,2.99999999999998
2020,12,9,Hormigón elaborado,214.542035183281,4.99999999999998
2020,12,10,Ladrillos cerámicos,241.448798660274,1.98692642897755
2020,12,11,Ladrillos comunes,340.455941107554,9.99999999999999
2020,12,12,Mosaicos graníticos y calcáreos,223.695202116454,6.47552136452843
2020,12,13,Pinturas para construcción,178.224050926887,0
2020,12,14,Pisos y revestimientos cerámicos,379.341063087954,20
2020,12,17,Yeso,206.904870828512,4.49999999999997
2020,12,15,Sanitarios de cerámica,297.183079098857,4.00000000000003
2020,12,16,Tubos estructurales,259.887670016043,7.13493617632988
2020,12,3,Caños de PVC,237.179737332986,4.90736880923468
2020,12,5,Chapas galvanizadas,234.256752150411,5.64137447042232
2020,12,7,Hierro fundido,179.976924509898,6.885860978408
2020,12,6,Conductores de cobre,231.401266186221,6.62242088531286
2021,1,1,Asfalto,218.552057161873,6.59481000619573
2021,1,2,Cales,206.790139938437,3.00000000000002
2021,1,4,Cemento portland,259.74617781237,2.00000000000002
2021,1,8,Hierro redondo y acero para construcción,304.159805900455,3
2021,1,9,Hormigón elaborado,214.542035183281,0
2021,1,10,Ladrillos cerámicos,249.478972900411,3.32582903070708
2021,1,11,Ladrillos comunes,354.074178751856,4.00000000000003
2021,1,12,Mosaicos graníticos y calcáreos,233.737195102482,4.48914097889313
2021,1,13,Pinturas para construcción,189.706086798813,6.44247272588139
2021,1,14,Pisos y revestimientos cerámicos,455.209275705545,20
2021,1,17,Yeso,206.904870828512,0
2021,1,15,Sanitarios de cerámica,310.045954978971,4.32826657531025
2021,1,16,Tubos estructurales,271.115307589319,4.32018863095072
2021,1,3,Caños de PVC,252.142863581457,6.30877089954078
2021,1,5,Chapas galvanizadas,258.723830342407,10.4445562261898
2021,1,7,Hierro fundido,187.55290564342,4.20941804298109
2021,1,6,Conductores de cobre,236.006454624685,1.99013104567813
2021,2,1,Asfalto,248.591508736368,13.7447580977222
2021,2,2,Cales,216.093222655242,4.49880382090506
2021,2,4,Cemento portland,267.538563146742,2.99999999999998
2021,2,8,Hierro redondo y acero para construcción,332.142508043297,9.20000000000001
2021,2,9,Hormigón elaborado,222.048415312197,3.49879226348491
2021,2,10,Ladrillos cerámicos,268.812573727523,7.74959131919721
2021,2,11,Ladrillos comunes,368.23714590193,4
2021,2,12,Mosaicos graníticos y calcáreos,247.89577090619,6.05747655930444
2021,2,13,Pinturas para construcción,195.388060152417,2.99514551666986
2021,2,14,Pisos y revestimientos cerámicos,482.521832247878,6.00000000000001
2021,2,17,Yeso,206.904870828512,0
2021,2,15,Sanitarios de cerámica,327.076439835793,5.49289051617417
2021,2,16,Tubos estructurales,295.490658060644,8.99076879430547
2021,2,3,Caños de PVC,273.071343500753,8.30024678153747
2021,2,5,Chapas galvanizadas,292.346480105681,12.9955751346043
2021,2,7,Hierro fundido,192.913960536187,2.85842273377492
2021,2,6,Conductores de cobre,255.837309679809,8.40267487033799
2021,3,1,Asfalto,262.261096303306,5.49881515922346
2021,3,2,Cales,220.415087108347,2
2021,3,4,Cemento portland,275.564720041144,2.99999999999998
2021,3,8,Hierro redondo y acero para construcción,342.106783284596,3
2021,3,9,Hormigón elaborado,233.705297826513,5.24970308746717
2021,3,10,Ladrillos cerámicos,277.763625743274,3.32984870894613
2021,3,11,Ladrillos comunes,368.23714590193,0
2021,3,12,Mosaicos graníticos y calcáreos,253.873452451171,2.41136890844451
2021,3,13,Pinturas para construcción,201.164320129421,2.95630140987002
2021,3,14,Pisos y revestimientos cerámicos,482.521832247878,0
2021,3,17,Yeso,225.526309203078,9.00000000000003
2021,3,15,Sanitarios de cerámica,330.336409279426,0.996699562117764
2021,3,16,Tubos estructurales,308.292113048508,4.33227062807391
2021,3,3,Caños de PVC,291.450894749079,6.73067741664191
2021,3,5,Chapas galvanizadas,305.207485019197,4.39923371366286
2021,3,7,Hierro fundido,198.830101619832,3.06672522154541
2021,3,6,Conductores de cobre,272.389298271986,6.46973211721631
2021,4,1,Asfalto,296.492462439296,13.0523995432405
2021,4,2,Cales,231.425345269221,4.99523798725352
2021,4,4,Cemento portland,286.587308842789,3.99999999999998
2021,4,8,Hierro redondo y acero para construcción,359.212122448826,5
2021,4,9,Hormigón elaborado,243.053509739574,4
2021,4,10,Ladrillos cerámicos,290.722973329057,4.66560283086208
2021,4,11,Ladrillos comunes,394.013746115065,7.00000000000001
